message,timestamp,severity,tags,attributes
[internal] load build definition from Dockerfile,2026-03-05T12:57:36.404439906Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:865e0a9a7ee8cfda03940bf7f4066256f3005d4d0eaf31ecf40fd65e60f2ae2a"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-05T12:57:36.404660756Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-05T12:57:36.404467506Z"",""digest"":""sha256:865e0a9a7ee8cfda03940bf7f4066256f3005d4d0eaf31ecf40fd65e60f2ae2a"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:36.404385966Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-05T12:57:36.404909036Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:865e0a9a7ee8cfda03940bf7f4066256f3005d4d0eaf31ecf40fd65e60f2ae2a"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:36.404661256Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-05T12:57:36.509419318Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-05T12:57:36.508679598Z"",""digest"":""sha256:865e0a9a7ee8cfda03940bf7f4066256f3005d4d0eaf31ecf40fd65e60f2ae2a"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:36.404661256Z"",""type"":""vertex""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-03-05T12:57:36.530286886Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:36.529847916Z"",""type"":""vertex""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-03-05T12:57:37.188255245Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-05T12:57:37.187870575Z"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:36.529847916Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-03-05T12:57:37.188714735Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:9dbf4ec707589624452d3596ea06c777ee38295bfa15195bf529b5b2181ed4a5"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load .dockerignore,2026-03-05T12:57:37.189162676Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-05T12:57:37.188778365Z"",""digest"":""sha256:9dbf4ec707589624452d3596ea06c777ee38295bfa15195bf529b5b2181ed4a5"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:37.188667005Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-03-05T12:57:37.189232196Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:9dbf4ec707589624452d3596ea06c777ee38295bfa15195bf529b5b2181ed4a5"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:37.188996625Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-03-05T12:57:37.302894176Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-05T12:57:37.302359205Z"",""digest"":""sha256:9dbf4ec707589624452d3596ea06c777ee38295bfa15195bf529b5b2181ed4a5"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-05T12:57:37.188996625Z"",""type"":""vertex""}"
